,kappa,lambd,alpha,omega,gamma,runs
178,15,1,0.6,0.2,0,15
179,15,1,0.6,0.2,1,57
180,15,1,0.5,0.5,-1,29
181,15,1,0.5,0.5,0,24
182,15,1,0.5,0.5,1,24
183,15,1,0.5,0.4,-1,38
184,15,1,0.5,0.4,0,17
185,15,1,0.5,0.4,1,24
186,15,1,0.5,0.2,-1,51
187,15,1,0.5,0.2,0,21
188,15,1,0.5,0.2,1,24
189,30,0,0.8,0.2,-1,33
190,30,0,0.8,0.2,0,62
191,30,0,0.8,0.2,1,76
192,30,0,0.6,0.4,-1,67
193,30,0,0.6,0.4,0,69
194,30,0,0.6,0.4,1,54
195,30,0,0.6,0.2,-1,76
196,30,0,0.6,0.2,0,76
197,30,0,0.6,0.2,1,54
198,30,0,0.5,0.5,-1,51
199,30,0,0.5,0.5,0,36
200,30,0,0.5,0.5,1,46
201,30,0,0.5,0.4,-1,83
202,30,0,0.5,0.4,0,75
203,30,0,0.5,0.4,1,177
204,30,0,0.5,0.2,-1,70
205,30,0,0.5,0.2,0,76
206,30,0,0.5,0.2,1,68
207,30,0.3,0.8,0.2,-1,47
208,30,0.3,0.8,0.2,0,102
209,30,0.3,0.8,0.2,1,121
210,30,0.3,0.6,0.4,-1,49
211,30,0.3,0.6,0.4,0,76
212,30,0.3,0.6,0.4,1,54
213,30,0.3,0.6,0.2,-1,64
214,30,0.3,0.6,0.2,0,80
215,30,0.3,0.6,0.2,1,199
216,30,0.3,0.5,0.5,-1,34
217,30,0.3,0.5,0.5,0,55
218,30,0.3,0.5,0.5,1,62
219,30,0.3,0.5,0.4,-1,49
220,30,0.3,0.5,0.4,0,76
221,30,0.3,0.5,0.4,1,52
222,30,0.3,0.5,0.2,-1,37
223,30,0.3,0.5,0.2,0,135
224,30,0.3,0.5,0.2,1,100
225,30,1,0.8,0.2,-1,56
226,30,1,0.8,0.2,0,69
227,30,1,0.8,0.2,1,99
228,30,1,0.6,0.4,-1,24
229,30,1,0.6,0.4,0,52
230,30,1,0.6,0.4,1,24
231,30,1,0.6,0.2,-1,44
232,30,1,0.6,0.2,0,130
233,30,1,0.6,0.2,1,300
234,30,1,0.5,0.5,-1,31
235,30,1,0.5,0.5,0,27
236,30,1,0.5,0.5,1,18
237,30,1,0.5,0.4,-1,24
238,30,1,0.5,0.4,0,27
239,30,1,0.5,0.4,1,76
240,30,1,0.5,0.2,-1,32
241,30,1,0.5,0.2,0,152
242,30,1,0.5,0.2,1,54
